Date,Open,High,Low,Close,Adj Close,Volume
2013-12-30,79.637146,80.012856,78.902855,79.217140,67.420517,63407400
2013-12-31,79.167145,80.182854,79.142860,80.145714,68.210831,55771100
2014-01-02,79.382858,79.575714,78.860001,79.018570,67.251503,58671200
2014-01-03,78.980003,79.099998,77.204285,77.282860,65.774300,98116900
2014-01-06,76.778572,78.114288,76.228569,77.704285,66.132957,103152700
2014-01-07,77.760002,77.994286,76.845711,77.148575,65.660004,79302300
2014-01-08,76.972855,77.937141,76.955711,77.637146,66.075813,64632400
2014-01-09,78.114288,78.122856,76.478569,76.645714,65.232025,69787200
2014-01-10,77.118568,77.257141,75.872856,76.134285,64.796753,76244000
2014-01-13,75.701431,77.500000,75.697144,76.532860,65.135979,94623200
2014-01-14,76.888573,78.104286,76.808571,78.055717,66.432060,83140400
2014-01-15,79.074287,80.028572,78.808571,79.622856,67.765808,97909700
2014-01-16,79.271431,79.550003,78.811432,79.178574,67.387703,57319500
2014-01-17,78.782860,78.867142,77.128571,77.238571,65.736603,106684900
2014-01-21,77.284286,78.581429,77.202858,78.438568,66.757919,82131700
2014-01-22,78.701431,79.612854,78.258568,78.787140,67.054565,94996300
2014-01-23,78.562859,79.500000,77.830002,79.454285,67.622375,100809800
2014-01-24,79.142860,79.374283,77.821426,78.010002,66.393143,107338700
2014-01-27,78.581429,79.257141,77.964287,78.642860,66.931786,138719700
2014-01-28,72.680000,73.571426,71.724289,72.357140,61.582092,266380800
2014-01-29,71.992859,72.481430,71.231430,71.535713,60.882980,125702500
2014-01-30,71.791428,72.357140,70.957146,71.397141,60.765038,169625400
2014-01-31,70.739998,71.647141,70.507141,71.514282,60.864742,116199300
2014-02-03,71.801430,72.532860,71.328575,71.647141,60.977806,100366000
2014-02-04,72.264282,72.779999,71.822861,72.684288,61.860519,94170300
2014-02-05,72.365715,73.611427,72.321426,73.227142,62.322529,82086200
2014-02-06,72.865715,73.357140,72.544289,73.215714,65.021019,64441300
2014-02-07,74.482857,74.704285,73.911430,74.239998,65.930649,92570100
2014-02-10,74.094284,75.998573,74.000000,75.570000,67.111786,86389800
2014-02-11,75.801430,76.821426,75.642860,76.565712,67.996056,70564200
2014-02-12,76.707146,77.080002,76.177139,76.559998,67.990990,77025200
2014-02-13,76.379997,77.835716,76.314285,77.775711,69.070618,76849500
2014-02-14,77.495712,77.997147,77.315712,77.712860,69.014824,68231100
2014-02-18,78.000000,78.741432,77.944283,77.998573,69.268555,65062900
2014-02-19,77.821426,78.127144,76.335716,76.767143,68.174957,78442000
2014-02-20,76.141426,76.714287,75.571426,75.878571,67.385818,76464500
2014-02-21,76.112854,76.367142,74.942856,75.035713,66.637291,69696200
2014-02-24,74.735718,75.702858,74.631432,75.364288,66.929108,72227400
2014-02-25,75.625717,75.652855,74.428574,74.580002,66.232597,57988000
2014-02-26,74.801430,75.000000,73.657143,73.907143,65.635040,69054300
2014-02-27,73.877144,75.540001,73.721428,75.381432,66.944336,75470500
2014-02-28,75.582855,76.107140,74.588570,75.177139,66.762894,92992200
2014-03-03,74.774284,75.807144,74.687141,75.394287,66.955742,59695300
2014-03-04,75.857140,76.091431,75.395714,75.891426,67.397240,64785000
2014-03-05,75.845711,76.392860,75.589996,76.051430,67.539330,50015700
2014-03-06,76.112854,76.348572,75.442856,75.821426,67.335083,46372200
2014-03-07,75.870003,75.997147,75.150002,75.777145,67.295746,55182400
2014-03-10,75.480003,76.190002,75.477142,75.845711,67.356644,44646000
2014-03-11,76.492859,76.962860,76.084282,76.584282,68.012543,69806100
2014-03-12,76.358574,76.764282,76.000000,76.658569,68.078506,49831600
2014-03-13,76.777145,77.094284,75.594284,75.807144,67.322395,64435700
2014-03-14,75.541428,75.841431,74.714287,74.955711,66.566254,59299800
2014-03-17,75.385712,75.709999,75.121429,75.248573,66.826332,49886200
2014-03-18,75.128571,75.995712,75.028572,75.914284,67.417549,52411800
2014-03-19,76.037140,76.605713,75.571426,75.894287,67.399796,56189000
2014-03-20,75.698570,76.095711,75.335716,75.528572,67.075005,52099600
2014-03-21,75.989998,76.250000,75.190002,76.124283,67.604012,93511600
2014-03-24,76.917145,77.214287,76.437141,77.027145,68.405846,88925200
2014-03-25,77.357140,77.964287,77.084282,77.855713,69.141670,70573300
2014-03-26,78.074287,78.428574,76.980003,77.111427,68.480690,74942000
2014-03-27,77.145714,77.357140,76.445717,76.779999,68.186356,55507900
2014-03-28,76.902855,76.991432,76.321426,76.694283,68.110252,50141000
2014-03-31,77.032860,77.258568,76.561432,76.677139,68.095001,42167300
2014-04-01,76.822861,77.410004,76.681427,77.378571,68.717934,50190000
2014-04-02,77.482857,77.639999,77.180000,77.507141,68.832115,45105200
2014-04-03,77.341431,77.500000,76.805717,76.970001,68.355110,40586000
2014-04-04,77.115715,77.142860,75.797142,75.974289,67.470833,68812800
2014-04-07,75.431427,75.842857,74.555717,74.781425,66.411484,72462600
2014-04-08,75.027145,75.160004,74.099998,74.777145,66.407692,60972100
2014-04-09,74.662857,75.784286,74.574287,75.760002,67.280518,51542400
2014-04-10,75.811432,76.034286,74.738571,74.782860,66.412750,59913000
2014-04-11,74.142860,74.690002,73.877144,74.230003,65.921761,67929400
2014-04-14,74.557144,74.594284,73.887146,74.525711,66.184387,51418500
2014-04-15,74.324287,74.519997,73.047142,73.994286,65.712440,66622500
2014-04-16,74.007141,74.441429,73.448570,74.144287,65.845650,53691400
2014-04-17,74.285713,75.394287,74.171425,74.991432,66.597977,71083600
2014-04-21,75.048569,76.019997,74.851425,75.881432,67.388367,45637200
2014-04-22,75.472855,75.975716,75.214287,75.957146,67.455612,50640800
2014-04-23,75.580002,75.875717,74.921425,74.964287,66.573868,98735000
2014-04-24,81.172859,81.428574,80.104286,81.110001,72.031723,189977900
2014-04-25,80.647141,81.712860,80.565712,81.705711,72.560760,97568800
2014-04-28,81.828575,85.107140,81.792854,84.870003,75.370872,167371400
2014-04-29,84.820000,85.139999,84.215714,84.618568,75.147606,84344400
2014-04-30,84.662857,85.632858,84.257141,84.298569,74.863411,114160200
2014-05-01,84.571426,84.971428,83.765717,84.497147,75.039764,61012000
2014-05-02,84.620003,84.885712,84.244286,84.654289,75.179306,47878600
2014-05-05,84.305717,85.857140,84.285713,85.851425,76.242470,71766800
2014-05-06,85.971428,86.344284,84.915718,84.915718,75.411484,93641100
2014-05-07,85.035713,85.327141,83.961426,84.618568,75.147606,70716100
